"Model #","Serial #","Inv Qty","Availability Status","Availability Message"
GCST16S1WSS,VA201508,,Reserved,"Not Available"
PGS930YPFS,RA926502,,Reserved,"Not Available"
GFW655SSVWW,VA357962,,Reserved,"Not Available"
RGBS330DRBB,VA360652,,Reserved,"Not Available"
JGBS66DEKWW,MA413652,,Reserved,"Not Available"
GUD24GSSMWW,TA060377,,Reserved,"Not Available"
ZWL1126SRSS,VA200023,,Reserved,"Not Available"
GTS22KYNRFS,TA835522,,Reserved,"Not Available"
GDT550PGRBB,TA862516,,Reserved,"Not Available"
CTC912P2NS1,FA159371,,Reserved,"Not Available"
GSS25GYPFS,SA435278,,Reserved,"Not Available"
GWE22JYMFS,TA375010,,Reserved,"Not Available"
PVM9179SRSS,SA201864,,Reserved,"Not Available"
WH41X10207,,1,Reserved,"Not Available"
PXD22BYPFS,TA525675,,Reserved,"Not Available"
GTW485ASWWB,VA170924,,Reserved,"Not Available"
JVM7195SKSS,FA200765,,Reserved,"Not Available"
GSS23GYPFS,TA451764,,Reserved,"Not Available"
GTX22EASKWW,RA504145,,Reserved,"Not Available"
PTW600BSRWS,TA203455,,Reserved,"Not Available"
GTX22EASKWW,RA504147,,Reserved,"Not Available"
JGBS66REKSS,VA404674,,Reserved,"Not Available"
GDF510PSRSS,TA730706,,Reserved,"Not Available"
GDF510PSRSS,TA730707,,Reserved,"Not Available"
GFW550SPRRS,DA307137,,Reserved,"Not Available"
GDF510PSRSS,LA850831,,Reserved,"Not Available"
GTD48EASWWB,ZA872467,,Reserved,"Not Available"
JGBS66REKSS,TA419152,,Reserved,"Not Available"
JGBS66REKSS,TA419156,,Reserved,"Not Available"
GZS22IYNFS,TA430566,,Reserved,"Not Available"
GWE22JYMFS,VA391051,,Reserved,"Not Available"
GFD55ESPRRS,VA136422,,Reserved,"Not Available"
GFD55GSPRRS,VA946209,,Reserved,"Not Available"
JGP5036SLSS,ZA100403,,Reserved,"Not Available"
GIE18GTNRBB,ZA815929,,Reserved,"Not Available"
GTD48EASWWB,TA523663,,Reserved,"Not Available"
GFD55GSSNWW,TA104245,,Reserved,"Not Available"
GDT650SYVFS,RA862707,,Reserved,"Not Available"
GSS23GYPFS,TA451777,,Reserved,"Not Available"
UNC15NPWII,TA223065,,Reserved,"Not Available"
GRF600AVSS,RA019488,,Reserved,"Not Available"
GTW485ASWWB,TA136350,,Reserved,"Not Available"
JGBS66REKSS,LZ226291,,Reserved,"Not Available"
PDT755SYVFS,ZA741481,,Reserved,"Not Available"
CDT828P2VS1,FA756950,,Reserved,"Not Available"
GRF500PVSS,HA066940,,Reserved,"Not Available"
PXD22BYPFS,TA525690,,Reserved,"Not Available"
PCWK22U1WDD,TA202694,,Reserved,"Not Available"
PHS930YPFS,TA109009,,Reserved,"Not Available"
PCWK22U1WDD,TA202696,,Reserved,"Not Available"
JBS86SPSS,MA059601,,Reserved,"Not Available"
PYE22KYNFS,SA507527,,Reserved,"Not Available"
GFW655SSVWW,VA357612,,Reserved,"Not Available"
GTD58EBSVWS,ZA706385,,Reserved,"Not Available"
GDF510PSRSS,LA821362,,Reserved,"Not Available"
GDF510PSRSS,LA821364,,Reserved,"Not Available"
PVD28BYNFS,TA516171,,Reserved,"Not Available"
ZCWK22U2WSS,RA200080,,Reserved,"Not Available"
PAE28BYTFS,TA155042,,Reserved,"Not Available"
GDF460PSTSS,VA832192,,Reserved,"Not Available"
JEP5030DTBB,RA044544,,Reserved,"Not Available"
PTW700BPTDG,RA186911,,Reserved,"Not Available"
GTW385ASWWS,VA966205,,Reserved,"Not Available"
GTW485ASWWB,ZA215319,,Reserved,"Not Available"
JVX3300SJSS,SA859396,,Reserved,"Not Available"
GUD24ESSMWW,TA060034,,Reserved,"Not Available"
GCE06GSHSB,MZ015189,,Reserved,"Not Available"
JK3800SHSS,LA006701,,Reserved,"Not Available"
PK7800SKSS,HA006943,,Reserved,"Not Available"
PVM9179DRBB,FA200824,,Reserved,"Not Available"
PK7800SKSS,GA006666,,Reserved,"Not Available"
GNE27JYMFS,VA391251,,Reserved,"Not Available"
GDT550PGRWW,LA720491,,Reserved,"Not Available"
GTW485ASWWB,ZA215321,,Reserved,"Not Available"
GTX22EASKWW,VA887255,,Reserved,"Not Available"
GTW385ASWWS,VA966208,,Reserved,"Not Available"
PTS9000SNSS,ZZ111784,,Reserved,"Not Available"
PVD28BYNFS,TA531125,,Reserved,"Not Available"
GDE25EYKFS,VA347722,,Reserved,"Not Available"
PSS93YPFS,LA043204,,Reserved,"Not Available"
UXDC732MSS,,2,Reserved,"Not Available"
GTD48EASWWB,GA761472,,Reserved,"Not Available"
PFW870SPVRS,FA362404,,Reserved,"Not Available"
GTW485ASWWB,TA167042,,Reserved,"Not Available"
PDT715SYVFS,ZA796626,,Reserved,"Not Available"
GFW550SSNWW,VZ399274,,Reserved,"Not Available"
PTD60EBSRWS,VA551506,,Reserved,"Not Available"
PSB9100SVSS,RA500029,,Reserved,"Not Available"
GRF400SVWW,ZA059121,,Reserved,"Not Available"
PSB9100SVSS,RA500028,,Reserved,"Not Available"
ZIF241NBRII,HA032213,,Reserved,"Not Available"
PVM9179SRSS,HA200684,,Reserved,"Not Available"
JVM6172SKSS,RA200478,,Reserved,"Not Available"
GTW485ASWWB,TA276833,,Reserved,"Not Available"
GDT670SYVFS,AD710353,,Reserved,"Not Available"
PVD28BYNFS,SA523695,,Reserved,"Not Available"
JB256RTSS,SA459248,,Reserved,"Not Available"
CXPR6HKPTBZ,,1,Reserved,"Not Available"
JGBS66REKSS,VA404581,,Reserved,"Not Available"
JVX3300SJSS,SA859373,,Reserved,"Not Available"
JVM3160RFSS,LA207640,,Reserved,"Not Available"
GFD35ESPYDS,VA100017,,Reserved,"Not Available"
GFE26JYMFS,TA377276,,Reserved,"Not Available"
GDF460PSTSS,HA887525,,Reserved,"Not Available"
PGP7036SLSS,ZA026945,,Reserved,"Not Available"
GTD48EASWWB,ZA872417,,Reserved,"Not Available"
ZSB9232VSS,LA400415,,Reserved,"Not Available"
HTW265ASWWW,VA984604,,Reserved,"Not Available"
CTC912P2NS1,AD017383,,Reserved,"Not Available"
GRF400SVWW,ZA086927,,Reserved,"Not Available"
CXADTH1PVBZ,,1,Reserved,"Not Available"
GGS600AVFS,SA092663,,Reserved,"Not Available"
CXE22DP4PW2,MA517807,,Reserved,"Not Available"
PTW705BPTDG,TA936521,,Reserved,"Not Available"
GYE22GYNFS,ZA507990,,Reserved,"Not Available"
GDT670SYVFS,AD710245,,Reserved,"Not Available"
GTW585BPVDG,SA933613,,Reserved,"Not Available"
