"Model #","Serial #","Inv Qty","Availability Status","Availability Message"
GTE16DTNLWW,RA843050,,Available,
GSS25GYPFS,TA461525,,Reserved,"Not Available"
PVM9005RYSS,RA200328,,Available,
GRF40HSVSS,VA083994,,Available,
GTE16DTNLWW,RA843054,,Available,
GFD35ESPYDS,MA144437,,Available,
GUD24GSSMWW,ZA069153,,Available,
PVM9179SRSS,GA201336,,Available,
PFQ97HSPVDS,MA319841,,Available,
GFD55ESPRRS,VA166366,,Available,
GFD55ESPRRS,VA101967,,Available,
PFW870SSVWW,RA325609,,Available,
PGS960YPFS,MA378097,,Available,
GTD48EASWWB,VA566210,,Available,
GNE27JYMFS,TA355483,,Available,
GYE21JYMFS,ZA379763,,Available,
PHS930YPFS,MA116481,,Available,
GRF40HSVSS,ZA005993,,Available,
HTX26EASWWW,VA885159,,Available,
GRF40HSVSS,ZA005996,,Available,
PTW600BSRWS,VA912418,,Available,
HTW265ASWWW,VA200653,,Available,
PTD60EBSRWS,VA561759,,Available,
PTD7000SNSS,SA018365,,Available,
GFW655SSVWW,VZ905407,,Available,
GNE27JYMFS,TA328094,,Available,
PGE29BYTFS,SA129310,,Available,
GNE27JYMFS,TA328092,,Available,
VFD31EDSRWW,RV500017,,Available,
GTD48EASWWB,VA505179,,Available,
FUF21DLRWW,RA046761,,Available,
GTW585BSVWS,TA269392,,Available,
JGBS86SPSS,VA379569,,Available,
GTS22KGNRWW,TA872811,,Available,
GNE27JYMFS,LA388142,,Reserved,"Not Available"
GNE25JYKFS,TA330076,,Available,
GFW550SSNWW,RZ308388,,Available,
GFQ14ESSNWW,RA328874,,Available,
JVM6175DKBB,TA200252,,Available,
GFR0728SNWW,,2,Available,
PVM9179SRSS,SA201367,,Available,
GFE26JYMFS,RA353785,,Reserved,"Not Available"
PTD7000SNSS,SA098054,,Available,
PVD28BYNFS,VA511109,,Available,
PFD87ESPVRS,RA261857,,Available,
GUD27ESSMWW,TA089520,,Available,
PXD22BYPFS,VA509467,,Available,
GTW485ASWWB,SA991208,,Available,
PVD28BYNFS,TA525388,,Available,
FUF17DLRWW,AA042106,,Available,
PTD60EBSRWS,VA561731,,Available,
PTW600BSRWS,TA951206,,Available,
CHS900P2MS1,DA383387,,Available,
JVM7195FLDS,FA200299,,Available,
GFW550SSNWW,ZZ318038,,Available,
PTD60EBPRDG,GA570467,,Available,
PEP9030STSS,TA169215,,Available,
CTS70DP2NS1,RA021199,,Available,
JGBS66REKSS,VA400445,,Available,
PXD22BYPFS,TA527341,,Available,
GGS600AVES,HA098567,,Available,
JVM3160DFWW,SA216922,,Available,
GRF500PVSS,ZA005399,,Available,
GSS25GYPFS,VA446819,,Available,
GDF460PSTSS,ZA837611,,Available,
PVD28BYNFS,TA532506,,Available,
GRF600AVSS,VA096142,,Available,
PJE23BYWFS,MA148116,,Available,
GTS17DTNRWW,VA738190,,Available,
GFD55ESSNWW,RA174749,,Available,
GGF600AVSS,TA152173,,Reserved,"Not Available"
GTW538ASWWS,VA997840,,Available,
GZS22IYNFS,VA464820,,Available,
PGE29BYTFS,SA129749,,Available,
JVM7195SKSS,FA200976,,Available,
GNE27JYMFS,RA394088,,Available,
GFE28GYNFS,SA521087,,Reserved,"Not Available"
JVW5301SJSS,RA822436,,Available,
PJE23BYWFS,RA164172,,Reserved,"Not Available"
GTS22KGNRWW,TA830141,,Reserved,"Not Available"
PVM9005SJSS,RA205795,,Available,
GFD55GSPRRS,SA996355,,Available,
PT7800SHSS,VA009720,,Available,
PFD87ESPVRS,TA160578,,Available,
GNE27JGMBB,LA323345,,Available,
GUD27ESSMWW,HA038128,,Available,
GUD27ESSMWW,TA084276,,Available,
PFQ83HSLWWW,SA344601,,Available,
JVM7195SKSS,ZZ202635,,Available,
PVD28BYNFS,TA516233,,Available,
JVM7195SKSS,SA201010,,Available,
PVD28BYNFS,VA511151,,Available,
HTW265ASWWW,ZA133311,,Available,
GDF510PSRSS,LA850643,,Available,
PVM9215SKSS,LA200342,,Available,
PGS960YPFS,MA378077,,Available,
GUD27ESSMWW,VA038542,,Available,
GTE16DTNRWW,RA790088,,Available,
GTS22KGNRWW,TA867400,,Available,
PVD28BYNFS,VA511154,,Available,
PTD70EBSTWS,TA563487,,Available,
GFW550SSNWW,VZ399097,,Available,
CVE28DP3ND1,AA513343,,Available,
PTS9000SNSS,RA169519,,Reserved,"Not Available"
GTS22KGNRWW,TA830155,,Available,
JBS86SPSS,MA088900,,Available,
PK7800SKSS,SA107161,,Available,
GTD48GASWWB,RA504083,,Available,
JB256DMWW,RA309547,,Available,
ZISS480NNSS,RA030156,,Available,
GTE17GSNRSS,TA807021,,Available,
GDE03GLKLB,MA085432-AD1,,Available,
JBS86SPSS,VA086279,,Available,
